dataset,subject,session,task,stage,n_trials,mu_ERD_CV_contra,beta_ERD_CV_contra,mu_onset_latency_mean,mu_onset_latency_SD,beta_onset_latency_mean,beta_onset_latency_SD
PhysionetMI,4,0,T2,late,8,10.38965572929242,8.120464115138045,0.6,0.094727051499106,0.59609375,0.1477678149951385
PhysionetMI,5,0,T1,early,7,1.2280956170693371,3.357754713997789,0.7723214285714286,0.1913549298650898,0.7866071428571428,0.3990142509346998
PhysionetMI,5,0,T1,mid,7,2.189113906053136,2.314564717922645,0.7571428571428571,0.354663267287811,0.6848214285714285,0.3000903350387571
PhysionetMI,5,0,T1,late,7,3.673957585628584,21.45263462209759,0.7162499999999999,0.228432156230247,0.6544642857142857,0.2494796881429796
PhysionetMI,5,0,T2,early,8,96.48010714758556,1.5318898838926254,0.8171875,0.4505936838979769,0.6078125,0.0845339937170248
PhysionetMI,5,0,T2,mid,8,1.2154964845786418,2.507429947080744,0.7250000000000001,0.2859844565269238,0.7359375,0.2298468834762612
PhysionetMI,5,0,T2,late,8,7.224530770509282,2.755230703432934,0.96171875,0.3271329870418718,0.6734375,0.1897199313297103
PhysionetMI,6,0,T1,early,8,9.639652447213836,1.1144304100959466,0.86171875,0.2471603868663777,0.78046875,0.3391659908303565
PhysionetMI,6,0,T1,mid,8,0.7566275259552447,2.253858672076106,0.915625,0.3437215897350645,0.7671875,0.343433803437795
PhysionetMI,6,0,T1,late,8,12.41476293467458,2.6795015206586767,0.58125,0.0930179754133575,0.71171875,0.1888347672859463
PhysionetMI,6,0,T2,early,7,0.7274946988298323,3.2852876036194423,0.7205357142857142,0.4119817399856851,0.5741071428571428,0.1445987587097765
PhysionetMI,6,0,T2,mid,7,1.5096304036631,3.843853744495424,0.6642857142857144,0.1975778069417675,0.5517857142857142,0.1074623213512721
PhysionetMI,6,0,T2,late,7,0.8292308484954486,1.9293616264674989,0.5517857142857142,0.0717070464473616,0.6678571428571429,0.1701964651063408
PhysionetMI,7,0,T1,early,7,24.866812793727373,2.2583693647415144,0.8107142857142857,0.4797892288095186,0.6598214285714287,0.1266347189392243
PhysionetMI,7,0,T1,mid,8,2.931020066059013,4.164597542221376,0.87890625,0.797211555766998,0.6203125,0.1595204605802967
PhysionetMI,7,0,T1,late,8,1.8674374961782187,3.2376617527815257,1.003125,0.5173267372995524,0.6304687500000001,0.1099288432848153
PhysionetMI,7,0,T2,early,7,2.924340235307768,244.737547406766,0.7687499999999999,0.2279812413962416,0.6446428571428572,0.2152248764640825
PhysionetMI,7,0,T2,mid,7,2.3195493381945003,1.8430228392617585,1.0758928571428572,0.7045169046073707,0.6687500000000001,0.0673145600891813
PhysionetMI,7,0,T2,late,8,1.3420752208269515,4.710885122826078,0.74609375,0.1539815805492251,0.675,0.127437178150648
PhysionetMI,8,0,T1,early,7,0.647928299365152,0.4366711301543513,0.6517857142857143,0.1187130715942728,0.6276785714285714,0.1418491222016821
PhysionetMI,8,0,T1,mid,7,1.174434114619182,1.706180930065559,0.6875,0.1754458605952274,0.6017857142857144,0.1216384740423314
PhysionetMI,8,0,T1,late,8,17.22277070550443,2.141574466616783,0.821875,0.3251502056742391,0.54375,0.0395284707521047
PhysionetMI,8,0,T2,early,7,1.9343611989967515,6.763795070009495,0.55625,0.075519037334966,0.5482142857142858,0.0480320630582598
PhysionetMI,8,0,T2,mid,8,4.110601409662075,2.657134993937728,0.74140625,0.2646477888599062,0.68515625,0.2019179883602189
PhysionetMI,8,0,T2,late,8,18.414331914710782,1.2482189723160773,0.93515625,0.5403985933072342,0.8366071428571429,0.4420733992292709
PhysionetMI,9,0,T1,early,8,1.530598397661027,3.589639546465495,0.55859375,0.0653967384388357,0.7234375,0.2144157668963502
PhysionetMI,9,0,T1,mid,8,21.62817864756136,1.1202637746923536,0.8570312499999999,0.5509086732035877,0.66171875,0.1541875601692221
PhysionetMI,9,0,T1,late,8,5.468217292210429,3.411333357496713,0.71015625,0.2006565760782275,0.72578125,0.1500142408604513
PhysionetMI,9,0,T2,early,7,0.94474285947352,139.94866604096032,0.6866071428571429,0.362152366739048,0.575,0.0769537198581069
PhysionetMI,9,0,T2,mid,7,3.526448685520533,5.321452982802074,1.0330357142857145,0.6256310589626889,0.7232142857142857,0.0902448483463805
PhysionetMI,9,0,T2,late,7,2.554166146420435,30.799225477124963,0.599107142857143,0.1225395604592697,0.6401785714285715,0.1107430838122403
PhysionetMI,10,0,T1,early,8,1.4477681816627117,2.07583236327154,0.6242187499999999,0.122332374950123,0.6160714285714286,0.0960060186251096
PhysionetMI,10,0,T1,mid,8,2.463133609355689,28.501572807726088,0.80078125,0.4121736102189677,0.56328125,0.0672737455173821
PhysionetMI,10,0,T1,late,8,1.7388263378249442,2.0945268405195225,0.71015625,0.3808263206810127,0.83125,0.7399456272254064
PhysionetMI,10,0,T2,early,7,1.9766846682849908,1.7275111891899069,0.8714285714285712,0.629562429025761,0.5919642857142857,0.1692523701338281
PhysionetMI,10,0,T2,mid,7,17.423082221287416,1.4446487817233349,0.875,0.6070456855012761,1.0580357142857142,0.7287902332507157
PhysionetMI,10,0,T2,late,7,2.874549573969002,2.41845930573485,0.6410714285714286,0.2796453657979064,0.9866071428571428,0.6163456946439412
PhysionetMI,11,0,T1,early,7,0.4517621728793223,4.15662954383732,0.7419642857142856,0.3707002646674127,0.6151785714285715,0.082297990155735
PhysionetMI,11,0,T1,mid,8,0.7804691022767002,7.03076143273772,0.75,0.5464551960133602,0.8585937499999999,0.5803667474308272
PhysionetMI,11,0,T1,late,8,1.4266941237909818,23.397496467275104,0.98203125,0.5280735690563745,0.7953125,0.5253323910570811
PhysionetMI,11,0,T2,early,7,0.9526832767533662,1.8622048615458555,0.5946428571428571,0.2066535168353255,0.6035714285714285,0.0781951215921832
PhysionetMI,11,0,T2,mid,7,3.491861024258117,19.21374874014098,0.7241071428571428,0.2034695860539839,0.61875,0.1747393892820581
PhysionetMI,11,0,T2,late,8,6.915230653390218,2.255479388690233,0.6484375,0.1650269272535546,0.8140625,0.6548329194105548
PhysionetMI,12,0,T1,early,7,12.69751970699428,5.962305759997087,1.0428571428571427,0.4661706243645219,0.8249999999999998,0.2091338785722358
PhysionetMI,12,0,T1,mid,7,1.0836980636294915,2.462859303164114,0.7919642857142859,0.3990182467312614,0.6848214285714285,0.1659273568616761
PhysionetMI,12,0,T1,late,7,0.5301658329470819,11.886874153290828,0.5723214285714285,0.1525767204138459,0.6232142857142857,0.1535558546920438
PhysionetMI,12,0,T2,early,8,5.319670237225537,0.948304463600966,1.2796875,0.7408342926854493,0.6125,0.1139232883347386
PhysionetMI,12,0,T2,mid,8,10.62817221376075,3.120288414637179,1.1046875,0.6636248557873266,0.6812499999999999,0.1705631756124398
PhysionetMI,12,0,T2,late,8,9.60448872750694,1.3136952610479489,0.8953125,0.4245948206452241,0.6734374999999999,0.1409977698183556
PhysionetMI,13,0,T1,early,7,0.7275635463716172,2.596427807188393,0.7205357142857142,0.3290563192289274,0.7973214285714285,0.3856357393569581
PhysionetMI,13,0,T1,mid,8,1.186297000231454,1.968722213910784,0.6703125,0.3330251667948685,0.80625,0.3038490064982935
PhysionetMI,13,0,T1,late,8,1.5192085462488023,2031.3985484072589,0.65234375,0.2001693009016055,0.63671875,0.1590817614811248
PhysionetMI,13,0,T2,early,7,1.5992980727059227,1.2125912447489111,0.8098214285714286,0.3941941534475681,0.650892857142857,0.1585871131239218
PhysionetMI,13,0,T2,mid,7,4.701441117114425,2.216128412668225,0.7830357142857142,0.1847933898676451,0.5446428571428571,0.0365090148218944
PhysionetMI,13,0,T2,late,8,3.875343641042917,16.78333440195386,0.7546875,0.380079530123302,0.8070312500000001,0.3856740940689917
PhysionetMI,14,0,T1,early,7,2.060028669572581,0.9968552809178836,0.8044642857142856,0.267630856797575,0.6458333333333334,0.0976058897926873
PhysionetMI,14,0,T1,mid,7,1.783659539132376,2.119799487203832,0.5366071428571428,0.0491477105161531,0.7571428571428572,0.3019732088738188
PhysionetMI,14,0,T1,late,8,1.9546157450366213,2.2958632220342827,0.7945312500000001,0.3400717625898062,0.71875,0.2554293260864931
PhysionetMI,14,0,T2,early,7,1.3131101356111785,3.706298626912798,0.6616071428571428,0.2060585846455382,0.9017857142857144,0.3986544652365771
PhysionetMI,14,0,T2,mid,8,4.779574074877844,6.240481449039412,0.8656250000000001,0.5301090689660006,0.5406249999999999,0.0607569440475736
PhysionetMI,14,0,T2,late,8,3.478903709655756,3.3541931121588564,0.7401785714285714,0.2157021638032121,0.8039062499999999,0.4179556072700036
PhysionetMI,15,0,T1,early,7,7.770321111260396,1.5476596076944742,0.8479166666666665,0.6761146917416372,0.7651785714285714,0.3863297008451486
PhysionetMI,15,0,T1,mid,8,5.291831342460379,6.136459210547232,0.640625,0.1902403906903053,0.7508928571428573,0.3455137959087384
PhysionetMI,15,0,T1,late,8,1.9628697657427236,1.472084842559628,0.7453125,0.2833558316741514,0.52421875,0.0265969445789831
PhysionetMI,15,0,T2,early,7,6.018300745718797,2.0281290966805736,0.7794642857142856,0.5000302924497144,0.7026785714285714,0.1206315756376261
PhysionetMI,15,0,T2,mid,7,2.748387532845016,3.513494139481553,0.8239583333333332,0.4262606405481927,0.7776785714285713,0.4393945858119058
PhysionetMI,15,0,T2,late,8,7.346893067260154,3.168272033490069,0.6890625000000001,0.2466523917251767,0.81015625,0.5044425440755741
PhysionetMI,16,0,T1,early,7,26.43608279388641,19.571101028076157,0.8142857142857142,0.3832822633091009,0.7026785714285715,0.2819308652047555
PhysionetMI,16,0,T1,mid,7,1.5932874528993186,2.180643413691599,0.6875,0.1811114002091373,0.6294642857142857,0.0783275435695046
PhysionetMI,16,0,T1,late,8,7.465356348659768,8.742105157499704,0.86953125,0.25440335952172,0.64453125,0.1735834830447226
PhysionetMI,16,0,T2,early,7,3.904022304746784,1.8282853389038556,0.9010416666666666,0.5019158174905651,1.0412499999999998,0.7698782371258457
PhysionetMI,16,0,T2,mid,8,6.192346256801055,1.4333707506544944,0.6265625000000001,0.1691185212173699,0.671875,0.2016775350032819
PhysionetMI,16,0,T2,late,8,1.8130050400664155,1.2422174512330342,0.6796875,0.2031430280461281,0.6080357142857143,0.0757193394539792
PhysionetMI,17,0,T1,early,7,49.33496312887831,1.2451091855280478,0.8133928571428571,0.5148295116059376,0.6964285714285714,0.37250445141841
PhysionetMI,17,0,T1,mid,8,7.081819505407564,6.0797091454128855,0.67734375,0.2477227828610794,0.61171875,0.0830590375030767
PhysionetMI,17,0,T1,late,8,3.0324578061929803,3.458162447235116,0.6866071428571429,0.3296275727767535,0.69765625,0.1664759243807869
PhysionetMI,17,0,T2,early,7,18.65193584488637,5.733664903295078,0.6169642857142856,0.0712385866261382,0.5696428571428571,0.0398698456460109
PhysionetMI,17,0,T2,mid,7,0.5758104951977177,3.466604411297105,0.72,0.2166290031366991,0.8580357142857142,0.669085482321251
PhysionetMI,17,0,T2,late,8,6.341534753943053,6.1589194302118,0.6276785714285714,0.111396229280704,0.71875,0.2445841952609133
PhysionetMI,18,0,T1,early,7,1.0111635817078666,1.2779200026748838,0.8017857142857142,0.2917717254908679,0.786607142857143,0.2324997256965684
PhysionetMI,18,0,T1,mid,7,18.75751965988492,2.128687686113614,0.8714285714285716,0.6219107324879298,0.7125,0.2630521404045756
PhysionetMI,18,0,T1,late,8,8.629423333823556,0.8954016825288985,0.6273437500000001,0.2504281002572145,0.6734375,0.1788567753643959
PhysionetMI,18,0,T2,early,7,1.1785620151890566,2.258277620268725,0.8160714285714287,0.3305646066711823,1.00625,0.4616123238172915
PhysionetMI,18,0,T2,mid,8,2.246681893510159,2.903857019298472,0.9383928571428573,0.3627989618710255,0.85625,0.4337788174865158
PhysionetMI,18,0,T2,late,8,25.20357690855623,0.7637265130494,0.87421875,0.3774973807338767,0.99375,0.607617658359268
PhysionetMI,19,0,T1,early,7,0.5140569292789544,1.557961211909714,0.7205357142857143,0.2692108649291821,0.5491071428571429,0.0694709416568818
PhysionetMI,19,0,T1,mid,8,8.255096492472216,7.052547936207993,0.9203125,0.6140108120739813,0.7890625,0.3050478638160739
PhysionetMI,19,0,T1,late,8,1.1455341359887197,1.1407031067842572,0.6171875,0.0955427546638152,0.7982142857142858,0.2877078884591673
PhysionetMI,19,0,T2,early,7,2.625324089502421,1.7344469636908848,0.7258928571428571,0.2931781776966884,0.5598214285714286,0.0943053280465064
PhysionetMI,19,0,T2,mid,7,6.786509846014207,121.21805959435903,0.5364583333333334,0.0599931274999247,0.5580357142857143,0.0536309193488614
PhysionetMI,19,0,T2,late,8,2.283785759896642,1.2989109268314567,1.1375,0.798876163745045,0.5734375,0.0602525608895588
PhysionetMI,20,0,T1,early,7,2.5141020959599327,1.8979925125359327,0.5875,0.076837607049822,0.771875,0.4811789720311975
PhysionetMI,20,0,T1,mid,8,3.298118469110338,5.953663988062991,0.90390625,0.478818303507121,0.66328125,0.2187374438360691
PhysionetMI,20,0,T1,late,8,1.8993353611480537,1.700089326850762,0.7203124999999999,0.2201240328627249,0.56875,0.1045358042729858
PhysionetMI,20,0,T2,early,7,2.511447834717109,3.38984809707091,0.6633928571428572,0.1380439149291977,0.5875,0.0633689592781828
PhysionetMI,20,0,T2,mid,7,1.7731878154620648,0.5781017625958893,1.0830357142857143,0.6006666152309958,0.7553571428571428,0.1838765529769738
PhysionetMI,20,0,T2,late,8,9.601620145450882,3.3300179378322623,0.8328125,0.3472513442648567,0.73046875,0.382980670969094
PhysionetMI,21,0,T1,early,8,1.9484154740134088,3.806298338142837,0.69375,0.1313562495114499,0.9464285714285714,0.6963621763222388
PhysionetMI,21,0,T1,mid,8,34.80116552304816,0.8843276276946336,0.74765625,0.1489198577203104,0.6812499999999998,0.1813269541069785
PhysionetMI,21,0,T1,late,8,0.7764544295392862,1.2762996703831309,1.0953125,0.5266134990139828,0.828125,0.5358623307343034
PhysionetMI,21,0,T2,early,7,0.5534081751998945,0.9177240049306442,1.15625,0.8853406830141717,1.1080357142857142,0.5320080126372196
PhysionetMI,21,0,T2,mid,7,4.261453223534079,1.6069317852019276,0.7510416666666666,0.1887947196839878,0.5723214285714285,0.078763968634789
PhysionetMI,21,0,T2,late,7,1.2706155893157016,1.0616118237116985,0.6541666666666667,0.0937962848707535,0.6749999999999999,0.15
PhysionetMI,22,0,T1,early,7,11.246999656843624,2.8136656721994493,0.7928571428571429,0.1876912290145163,0.73125,0.1140762589548888
PhysionetMI,22,0,T1,mid,7,123.4406045070507,3.903157511495048,1.155357142857143,0.3173275081819721,0.6892857142857142,0.1569347241787528
PhysionetMI,22,0,T1,late,8,4.033719503682784,3.96849943017497,0.60234375,0.1629182567990386,0.72265625,0.3621622551059642
PhysionetMI,22,0,T2,early,7,5.053382161247354,4.637391646050369,0.7697916666666668,0.231008225713333,0.6366071428571428,0.2035792605009716
PhysionetMI,22,0,T2,mid,8,17.719678645522738,6.093031267356496,0.71328125,0.250866418559634,0.91953125,0.5590470188954928
PhysionetMI,22,0,T2,late,8,0.8861697767786496,31.392835823333638,0.565625,0.0992156741649221,0.6203125,0.1159097001710814
PhysionetMI,23,0,T1,early,7,8.444415717827564,9.048741264467647,0.8785714285714287,0.4481093360339822,0.75625,0.3800258449857626
PhysionetMI,23,0,T1,mid,7,2.8764242667388404,1.0027716379919864,1.1160714285714286,0.5712792773723742,0.6169642857142856,0.1481551086682123
PhysionetMI,23,0,T1,late,8,15.80142322934121,2.958032943965092,0.815625,0.5788508956328908,0.83046875,0.6442764647928229
PhysionetMI,23,0,T2,early,7,14.674171095104148,1.7007460122283262,0.95,0.5277563696577102,0.5955357142857143,0.1110880786785413
PhysionetMI,23,0,T2,mid,8,2.872773870997366,6.250250863367295,0.95234375,0.4754103644730912,0.72734375,0.1344453849094029
PhysionetMI,23,0,T2,late,8,3.155882164834485,3.897918676366832,1.1160714285714286,0.8132953328707769,0.6820312500000001,0.2818645629303859
PhysionetMI,24,0,T1,early,7,0.8473358190434703,132.07232150987926,0.8294642857142858,0.3556576260095873,0.6124999999999999,0.1927248223318863
PhysionetMI,24,0,T1,mid,7,7.868084261844013,4.740402150611866,0.6410714285714285,0.1639991678052554,0.6419642857142858,0.1538825751629323
PhysionetMI,24,0,T1,late,8,8.418288168858838,8.422153182005584,0.87109375,0.4248958684471261,0.7,0.2518098550990409
PhysionetMI,24,0,T2,early,7,1.893988595762196,1.239654644920691,0.9178571428571428,0.4228995966864369,0.621875,0.1021736420266988
PhysionetMI,24,0,T2,mid,8,10.196323918951096,10.93785630205828,0.621875,0.2140111708532991,0.66875,0.2803457686500725
PhysionetMI,24,0,T2,late,8,4.267220643473987,3.0725379610933805,1.0484375,0.654982033985475,0.5821428571428572,0.0616394842646186
PhysionetMI,25,0,T1,early,7,1.4578316543279155,1.4486249802498534,0.9705357142857142,0.6785350084211287,0.6116071428571429,0.1216253657418415
PhysionetMI,25,0,T1,mid,7,1.787619854616229,1.6908615633381647,0.7116071428571429,0.2895584032238592,0.5964285714285715,0.0688600695880672
PhysionetMI,25,0,T1,late,8,2.800523758319692,1.045454172655366,1.24609375,0.8101826177001316,0.69375,0.3801212799883742
PhysionetMI,25,0,T2,early,7,9.309412813157218,1.182854371971986,0.6169642857142857,0.1078769494585835,0.8330357142857141,0.6796607797351588
PhysionetMI,25,0,T2,mid,8,1.0063709948462871,0.6197145716569031,0.6343749999999999,0.2595067436503337,0.6982142857142858,0.1777436169524716
PhysionetMI,25,0,T2,late,8,1.7296747253568117,1.0769423668187037,0.6625000000000001,0.2489234633878454,0.60859375,0.0998014386090576
PhysionetMI,26,0,T1,early,8,2.2637851609999946,2.5996605372733166,0.67890625,0.1380648023517851,0.6703125000000001,0.1138697000687628
PhysionetMI,26,0,T1,mid,8,2.1568836786373957,1.7959346519894628,0.66328125,0.1656968446770713,0.7710937499999999,0.2237582378895523
PhysionetMI,26,0,T1,late,8,1.6318922998126328,1.70078068079139,0.934375,0.545909862637597,0.875,0.6015975755080324
PhysionetMI,26,0,T2,early,7,1.7964441852231026,0.6692023596092233,1.1008928571428571,0.7129026789063405,0.8232142857142858,0.3376440546686128
PhysionetMI,26,0,T2,mid,7,1.5100302434539965,3.820054595547219,0.6677083333333332,0.1411640901476796,0.6857142857142858,0.1585971665083894
PhysionetMI,26,0,T2,late,7,2.9462033701131767,0.923521785782872,1.0276785714285717,0.5146173286024861,0.66875,0.1045825033167594
PhysionetMI,27,0,T1,early,7,20.394250252492483,4.238875030369521,1.0322916666666666,0.5041677427674466,0.7598214285714286,0.1764562225295207
PhysionetMI,27,0,T1,mid,8,3.996489964897812,48.68840319315862,0.89453125,0.5386836304464221,0.60078125,0.1200357002559551
PhysionetMI,27,0,T1,late,8,14.06475344104699,3.3465969949258114,1.0328125,0.6053533156089508,0.7492187499999999,0.1576015762482644
PhysionetMI,27,0,T2,early,7,3.382198597942692,8.133219671255384,0.9160714285714284,0.4614231810830664,0.6321428571428571,0.1047652867419473
PhysionetMI,27,0,T2,mid,7,4.986468341541229,3.1195588165090133,0.7089285714285715,0.2667357478548263,0.6455357142857142,0.1436806620706531
PhysionetMI,27,0,T2,late,8,2.154284634416393,1.3044701983586224,0.8148437500000001,0.3261538636494093,0.6359375,0.1263501304659001
PhysionetMI,28,0,T1,early,7,8.0149832215952,3.880113879664834,0.8401785714285713,0.2620714431725262,0.8526785714285714,0.3476781587054561
PhysionetMI,28,0,T1,mid,7,19.60895236061114,4.735961377739566,0.7633928571428571,0.4551592707335465,0.5446428571428571,0.0502703152152116
PhysionetMI,28,0,T1,late,8,3.821850527304759,2.433227929016244,1.0580357142857142,0.5955725250992201,0.84765625,0.4238949040132913
PhysionetMI,28,0,T2,early,7,1.3016008144681086,6.101099558905014,0.6,0.102761353792821,0.72875,0.2971373840498701
PhysionetMI,28,0,T2,mid,8,74.8338737126657,3.391164977758504,0.7078125000000001,0.1804061715095966,0.6580357142857143,0.1226890981135584
PhysionetMI,28,0,T2,late,8,5.14644164448877,2.756729675499084,0.9453125,0.3929400151024962,0.5714285714285714,0.0545739528212004
PhysionetMI,29,0,T1,early,7,0.9291101577092288,0.8409358754370944,0.5473214285714285,0.0638127442328772,0.78125,0.3669827506650882
PhysionetMI,29,0,T1,mid,8,3.0283874399860164,1.3879485142441288,0.6515625,0.1978584069953814,0.7242187499999999,0.2820204291552963
PhysionetMI,29,0,T1,late,8,1.941650852794176,1.959890041443125,0.6169642857142856,0.1490563429289305,0.61796875,0.1535846894580885
PhysionetMI,29,0,T2,early,7,0.9998852311439026,2.8815776850585264,0.6625,0.2477765710608383,0.5794642857142857,0.0943560343830207
PhysionetMI,29,0,T2,mid,7,2.0350640516340874,1.3751968869379396,0.7598214285714285,0.2542684083196097,0.5526785714285714,0.0815487052412888
PhysionetMI,29,0,T2,late,8,0.6367608451275826,0.5800129717868006,0.5187499999999999,0.0343749999999999,0.57109375,0.094214344838976
PhysionetMI,30,0,T1,early,8,64.20320109131808,3.5029390086890326,0.8031250000000001,0.3302313346352826,0.87578125,0.5423602705637071
PhysionetMI,30,0,T1,mid,8,22.263908221683835,22.240750801907613,0.55234375,0.0515328987001264,0.66484375,0.260819350122719
PhysionetMI,30,0,T1,late,8,3.319678230265696,7.802079297157768,0.53125,0.0494388149996683,1.028125,0.8608963805969914
PhysionetMI,30,0,T2,early,7,7.156591300685162,61.33486374453032,0.6464285714285715,0.1716795038460221,0.6104166666666667,0.1532064692570852
PhysionetMI,30,0,T2,mid,7,2.9020015524599545,1.6224854872148802,0.91875,0.6762389423442406,0.6785714285714286,0.1710281782487963
PhysionetMI,30,0,T2,late,7,2.944341460785533,9.835448002535257,1.161607142857143,0.7737347720304288,0.7833333333333333,0.1953118055543209
PhysionetMI,31,0,T1,early,7,3.1381247514800887,7.178761582194958,0.7473214285714286,0.5434046228950151,0.8080357142857143,0.5162505867961283
PhysionetMI,31,0,T1,mid,7,2.889994142762927,4.064309540515888,0.5696428571428572,0.1393715394921365,1.1303571428571428,0.7347058796496981
PhysionetMI,31,0,T1,late,8,4.452423211792571,4.233669181056639,0.85703125,0.4427082567401895,0.65859375,0.1626182712626029
PhysionetMI,31,0,T2,early,7,1.5836822618148043,1.6698054102065472,0.83625,0.2737014797183237,0.6866071428571427,0.2780157002614002
PhysionetMI,31,0,T2,mid,8,3.32023371258394,9.649881316868894,0.89140625,0.4850694366773044,0.8223214285714286,0.469456100836111
PhysionetMI,31,0,T2,late,8,5.194083058924247,1.9331904316036683,0.60859375,0.1841613566235802,0.7089285714285714,0.1676337799599874
PhysionetMI,32,0,T1,early,7,7.537898806645833,3.308140605536733,1.094642857142857,0.5921871213853726,0.5864583333333334,0.1147016434663814
PhysionetMI,32,0,T1,mid,7,3.882862064507605,2.5535755163584994,1.1196428571428572,0.7978516673939244,0.6285714285714284,0.1666990827319498
PhysionetMI,32,0,T1,late,7,4.344598738361281,3.0819410100063656,1.0991071428571428,0.5973381110205098,0.6035714285714285,0.1075216518299681
PhysionetMI,32,0,T2,early,8,1.5796449777678103,19.16225307226748,0.72734375,0.2613616967411971,0.71484375,0.3274686515888773
PhysionetMI,32,0,T2,mid,8,8.400030136963501,0.6232354331051522,0.72890625,0.2721072553212014,0.6359375,0.1401641755005536
PhysionetMI,32,0,T2,late,8,2.4215254757175693,2.81532551268121,0.96875,0.4870490702947702,0.5695312499999999,0.1261446613453676
PhysionetMI,33,0,T1,early,7,2.785443266739389,1.6086313213876946,0.609375,0.1293890894099395,0.5991071428571428,0.1439799624664374
PhysionetMI,33,0,T1,mid,8,1.962707942766168,4.493860411930072,0.57109375,0.0846025577239689,0.79609375,0.3794905288982025
PhysionetMI,33,0,T1,late,8,1.4408725051210682,5.004373948769698,0.6796875,0.2124253085645635,0.67109375,0.1667689708801895
PhysionetMI,33,0,T2,early,7,1.1837144316609525,2.8841516701893477,0.6770833333333334,0.1914400834610023,0.5464285714285714,0.0814117307146776
PhysionetMI,33,0,T2,mid,7,1.3914891944276295,175.42347290375602,0.5419642857142858,0.0609370911812555,0.6526785714285713,0.2195230509490043
PhysionetMI,33,0,T2,late,8,1.150436529723674,1.9154398155515275,0.6375,0.2547977138829939,0.5508928571428572,0.0490340364919499
PhysionetMI,34,0,T1,early,7,1.133019341011431,0.5149194007753445,0.8598214285714285,0.5600727107497121,0.5604166666666667,0.0900424282707262
PhysionetMI,34,0,T1,mid,7,0.62382694512674,3.7544462528960274,0.68125,0.1984313483298443,0.6366071428571428,0.1804455229001093
