dataset,subject,session,task,stage,n_trials,imcoh_mu,imcoh_beta,wpli_mu,wpli_beta,imcoh_mu_baseline,imcoh_mu_MI,imcoh_mu_delta,imcoh_beta_baseline,imcoh_beta_MI,imcoh_beta_delta,wpli_mu_baseline,wpli_mu_MI,wpli_mu_delta,wpli_beta_baseline,wpli_beta_MI,wpli_beta_delta
PhysionetMI,2,0,right_hand,mid,7,-0.14176556492558617,0.1289612077636731,0.7997985383784896,0.6124915085116354,-0.015114803194286722,-0.14468322559073651,-0.12956842239644978,0.1595318523242468,0.13613844474871512,-0.023393407575531683,0.1813953569518228,0.7703693598106979,0.588974002858875,0.540576825471236,0.6118541107918171,0.07127728532058109
PhysionetMI,2,0,right_hand,late,8,0.01820281587468894,0.07517828143680023,0.39103885975104713,0.5514645293854374,0.05583330709034207,0.014090790311142753,-0.04174251677919932,0.1696509295303341,0.05459853498925509,-0.11505239454107899,0.15951033968182526,0.4596160764054927,0.3001057367236674,0.40981789066279267,0.3815678371444921,-0.028250053518300566
PhysionetMI,3,0,left_hand,early,7,-0.050706986475895714,-0.043516502102332044,0.5074902480531147,0.5131099670146635,-0.17309094905016165,-0.048242330471950805,0.12484861857821083,0.09883784003415196,-0.05578069030808266,-0.1546185303422346,0.44289194036200236,0.5407065698326465,0.09781462947064418,0.40330212476514715,0.6248374207302594,0.22153529596511223
PhysionetMI,3,0,left_hand,mid,8,-0.09649371791824403,-0.00856468962255916,0.785138639373,0.36433772381893936,-0.08683768001335823,-0.08116692030837289,0.005670759704985345,0.008111113572709624,-0.011534439991251276,-0.019645553563960902,0.2657924455883952,0.6885837041147737,0.42279125852637844,0.30071281232053904,0.3365273418874345,0.03581452956689546
PhysionetMI,3,0,left_hand,late,8,0.0668202633943426,-0.05272244480926861,0.6966634039592096,0.6036633679120562,-0.03031498118531616,0.0941885453897138,0.12450352657502996,-0.01221708105845413,-0.05631475146965574,-0.04409767041120161,0.5449862300354724,0.697666330072798,0.15268010003732557,0.4307454087631711,0.6216133885401455,0.1908679797769744
PhysionetMI,3,0,right_hand,early,7,-0.022622514374495695,-0.06017736077519911,0.2625221658010503,0.6911471049005012,-0.07535468485712121,-0.01437244488934929,0.060982239967771926,-0.052513015490876364,-0.05913114085077782,-0.006618125359901458,0.27666335248596197,0.29270904703567935,0.016045694549717382,0.44561323289309446,0.6782839927380562,0.23267075984496172
PhysionetMI,3,0,right_hand,mid,7,-0.008340364576358488,-0.08488023862686779,0.20440581691279,0.582644266906558,0.020656697071606892,-0.012041111241646859,-0.03269780831325375,-0.11375330179792408,-0.07291825166556985,0.04083505013235422,0.08846604617145297,0.2334675805854642,0.14500153441401126,0.5679550167421946,0.4953348679930579,-0.07262014874913669
PhysionetMI,3,0,right_hand,late,8,0.06833694073784351,-0.031114194936580786,0.6427274031953478,0.4429439943367885,0.14341503531385474,0.06183616036717506,-0.08157887494667967,-0.05926593772793439,-0.03139486946916798,0.02787106825876641,0.7966498324909697,0.5490582738630458,-0.2475915586279238,0.49294598469458656,0.4802669122745884,-0.01267907241999816
PhysionetMI,4,0,left_hand,early,7,-0.07397990417424326,0.0014908790864298694,0.593863442775631,0.2943624440909374,0.025558451080752144,-0.0902164268546455,-0.11577487793539765,0.0049597860394329785,-0.0021832925393139584,-0.007143078578746936,0.5247510887947775,0.6157401165388856,0.09098902774410811,0.5575671547483348,0.28030157620960605,-0.2772655785387288
PhysionetMI,4,0,left_hand,mid,8,0.004094989093845007,-0.008817619407964498,0.2015599125512768,0.30839525840649373,-0.21580408488613037,0.014732519649289736,0.2305366045354201,0.13771262292482128,-0.01547337389750896,-0.15318599682233025,0.6042623876404015,0.24829724331960032,-0.3559651443208012,0.5450705663910592,0.2869548629308715,-0.2581157034601877
PhysionetMI,4,0,left_hand,late,8,0.007873466631276685,-0.04394050479927123,0.22699914155367285,0.44269830546932637,0.02380946813109733,0.019476704608566618,-0.004332763522530713,-0.09856513337582541,-0.02887707051063958,0.06968806286518583,0.26243131425791827,0.18698452332869203,-0.07544679092922624,0.42265270932098065,0.4430247972007495,0.020372087879768852
PhysionetMI,4,0,right_hand,early,7,0.004570138625245681,-0.01991667573357236,0.25896078720480886,0.4930451198330411,-0.10999800162345816,0.022370843355800175,0.13236884497925833,0.04224066465099398,-0.015153264079441103,-0.057393928730435084,0.36294264718820535,0.265323117595046,-0.09761952959315934,0.3938750851565327,0.49097728153915127,0.09710219638261858
PhysionetMI,4,0,right_hand,mid,7,-0.05537306077886599,-0.04335128324746329,0.5648343882149347,0.3544126456270059,-0.2660542871342774,-0.025294918425568098,0.24075936870870931,-0.034797677480175454,-0.036910670910922004,-0.00211299343074655,0.6329221456357019,0.46155911654143644,-0.17136302909426548,0.36440858101073453,0.35133093732018716,-0.01307764369054737
PhysionetMI,4,0,right_hand,late,8,0.12680743098124506,0.00832799130835085,0.7607109953298725,0.41858733269954423,0.1092240161989092,0.11789945042399483,0.008675434225085626,-0.10219938119166286,0.031103190792327193,0.13330257198399004,0.3961127653555839,0.7374622974155638,0.3413495320599799,0.3077228742627496,0.41215286843995563,0.10442999417720605
PhysionetMI,5,0,left_hand,early,7,0.0805171953833889,-0.031273036463052205,0.5839941099135452,0.33585014833936655,-0.011283388286828056,0.1164776835941063,0.12776107188093436,-0.029802011486693245,-0.03184612402608686,-0.002044112539393614,0.06373744669980592,0.6410564256885414,0.5773189789887354,0.42319313925731505,0.298743528878588,-0.12444961037872704
PhysionetMI,5,0,left_hand,mid,7,0.016409954634823375,-0.04204578835740056,0.14623568670990936,0.5053317010933187,-0.18737220601613852,0.0615359997103446,0.24890820572648312,-0.07936705248958828,-0.03920672719546825,0.04016032529412003,0.5701734596002181,0.5292590417556698,-0.0409144178445483,0.45136439224022307,0.4054265848749025,-0.04593780736532055
PhysionetMI,5,0,left_hand,late,7,0.03131564416411136,0.03938248753354243,0.5775003910034526,0.5123451834097831,-0.0389232340179031,0.02986016190687441,0.0687833959247775,-0.03305033696957876,0.05840932757083891,0.09145966454041767,0.694685383109589,0.4867224068234036,-0.20796297628618543,0.40412367012461614,0.591974137533927,0.18785046740931088
PhysionetMI,5,0,right_hand,early,8,0.05130149867367949,-0.01747317981042086,0.6608609588296176,0.37050951913499797,0.3652079316077819,-0.0014145346465851544,-0.36662246625436706,0.10966300932305567,-0.05568336658787855,-0.1653463759109342,0.8827157533374037,0.25644550577988023,-0.6262702475575235,0.411047508723195,0.417636933278228,0.006589424555032974
PhysionetMI,5,0,right_hand,mid,8,-0.015068906120162717,-0.03745491748007827,0.15545516692984687,0.4424407006374409,0.055380651414274965,-0.02280469879877796,-0.07818535021305292,-0.1647629451078532,-0.030312205759530367,0.13445073934832283,0.22772645558589172,0.1428811549985768,-0.08484530058731493,0.5183302959072773,0.4771538276572317,-0.04117646825004562
PhysionetMI,5,0,right_hand,late,8,-0.004276330390037827,0.0321225869298631,0.3263333971091795,0.27030285586487224,-0.05335807692496438,-0.0025907043567304864,0.050767372568233896,0.05842399636430335,0.03020977633829572,-0.028214220026007632,0.13022345581105682,0.28258154384677747,0.15235808803572065,0.33769390441449487,0.25153596826352675,-0.08615793615096812
PhysionetMI,6,0,left_hand,early,8,-0.07932149871674501,-0.03986005903672581,0.5011336013404513,0.4981062656561527,-0.0729918474716297,-0.08342892497460591,-0.010437077502976205,0.07644483681044244,-0.053802327924482085,-0.13024716473492454,0.12918720434303355,0.47235504931946337,0.3431678449764298,0.5606244206561447,0.4953802091331154,-0.06524421152302928
PhysionetMI,6,0,left_hand,mid,8,-0.012604843875989513,-0.02156162880877116,0.19906417520392788,0.5742294703283297,0.022912446800468254,-0.023962275139713288,-0.04687472194018154,0.014834422638236557,-0.025640614246950667,-0.04047503688518722,0.15692630868014024,0.23133979704549562,0.07441348836535538,0.4061723525188393,0.4920922240029348,0.08591987148409547
PhysionetMI,6,0,left_hand,late,8,-0.10911293678681616,0.004004179857831748,0.6065447491167435,0.523176216310857,0.04110369511465851,-0.11717423803816732,-0.15827793315282582,-0.08282841291175615,0.010593304571476496,0.09342171748323264,0.40119745866678935,0.5393971845292735,0.1381997258624842,0.45757075042392104,0.5005172612914159,0.0429465108674949
PhysionetMI,6,0,right_hand,early,7,-0.033510570687363746,0.008948849829483267,0.4777823115317313,0.28085091861977085,-0.2855437508048516,0.02708941502189431,0.31263316582674594,-0.12416866682033485,0.0240555063906906,0.14822417321102546,0.781235265056829,0.37131236119928446,-0.4099229038575446,0.4119929906637452,0.34848015388359965,-0.06351283678014552
PhysionetMI,6,0,right_hand,mid,7,0.09525016035952233,-0.027659005614143202,0.7415427150220332,0.4345154450768854,0.017363348196994238,0.11987350042746746,0.10251015223047322,0.0007811972758546312,-0.02446368087704916,-0.025244878152903792,0.0460267125977184,0.8003645263945525,0.7543378137968341,0.3712308485568333,0.501662545129285,0.13043169657245168
PhysionetMI,6,0,right_hand,late,7,0.024904213405530454,-0.03405542139331522,0.35853968820132104,0.3356286428420978,-0.10045295157818365,0.03579818439443599,0.13625113597261965,-0.10315693375634656,-0.03335236531913427,0.06980456843721229,0.5978091531624348,0.2791830368800022,-0.3186261162824326,0.3483817990134767,0.3129078931844926,-0.03547390582898413
PhysionetMI,7,0,left_hand,early,7,0.09845154508930412,-0.02116204413844306,0.6076313631901016,0.3906478007979515,0.293368620644525,0.0762331116847981,-0.21713550895972691,0.06393235515786776,-0.024847626942291947,-0.08877998210015971,0.5941572400037504,0.47640741359103056,-0.1177498264127198,0.4321282558122215,0.35724680192345487,-0.0748814538887666
PhysionetMI,7,0,left_hand,mid,8,0.00835783749168901,-0.019835355525209843,0.20830493146236145,0.4556633316847457,-0.07466424744110597,0.01850206072701107,0.09316630816811705,-0.08441577177784163,-0.023059750389401824,0.061356021388439805,0.5249816599035897,0.2160483826685699,-0.3089332772350198,0.39854386406219383,0.3942953270376416,-0.004248537024552246
PhysionetMI,7,0,left_hand,late,8,0.06987142360657894,0.03506280179016464,0.5848811572436411,0.4727931460186678,0.10335993174123592,0.07686369182679853,-0.02649623991443739,-0.05568034366314239,0.04610025152640584,0.10178059518954823,0.2810848267411682,0.6137613246730895,0.33267649793192133,0.47402083727001226,0.4886319383683801,0.014611101098367829
PhysionetMI,7,0,right_hand,early,7,-0.06550862599699397,-0.0019021284500132824,0.45630340541093317,0.25313587787690894,-0.19071998594075912,-0.06991597354062387,0.12080401240013525,0.0476120114765029,-0.004744468406279846,-0.05235647988278275,0.5962608734554186,0.45223703222664946,-0.1440238412287691,0.4277217939698152,0.26681732436349764,-0.16090446960631755
PhysionetMI,7,0,right_hand,mid,7,-0.005104271321063939,-0.03325911948405833,0.3001394771074132,0.3382671410612963,0.17746309916668107,-0.023762631818720167,-0.20122573098540125,0.024366181897864984,-0.03857415036461339,-0.06294033226247837,0.606691154867282,0.38110870128539354,-0.22558245358188844,0.23859506201269737,0.38445932551194456,0.1458642634992472
PhysionetMI,7,0,right_hand,late,8,0.014048702040446682,-0.06740866500129027,0.2932041614480702,0.5099239868218702,0.09807114737883633,0.005759166538464764,-0.09231198084037157,-0.1698574650429766,-0.035001255518914864,0.13485620952406174,0.2567608309303128,0.2561976860736328,-0.0005631448566800201,0.6262558429211366,0.37796965993136483,-0.24828618298977173
PhysionetMI,8,0,left_hand,early,7,-0.055007719247199424,0.04374522893745727,0.5657128464396386,0.427332618280855,0.05146339838378872,-0.07035860634240249,-0.1218220047261912,0.02053573036799388,0.055240174187832454,0.034704443819838574,0.6287269712807699,0.5644980166517063,-0.06422895462906364,0.32107687934340334,0.5013131718811076,0.18023629253770423
PhysionetMI,8,0,left_hand,mid,7,-0.001457701738485452,0.03672785354417561,0.23182750026480742,0.381049999729211,-0.10978750667493778,0.027590104106874104,0.13737761078181188,-0.07005240206365418,0.05368465374870946,0.12373705581236363,0.1870528531497283,0.42507501970566114,0.23802216655593283,0.38411707021963776,0.420272310303302,0.03615524008366422
PhysionetMI,8,0,left_hand,late,8,-0.039983918219035935,-0.007037639387420851,0.4112092016383187,0.3899142636187019,0.05832492953458441,-0.0532715638959385,-0.11159649343052291,-0.02488885253981532,-0.01927165842692233,0.005617194112892989,0.20817117143506075,0.5176317917339098,0.3094606202988491,0.47268711391684765,0.32788259272100667,-0.14480452119584097
PhysionetMI,8,0,right_hand,early,7,0.039654463104689265,0.05246820289571617,0.42398497058257045,0.639298289314916,0.1266967180484534,0.045965869547879026,-0.08073084850057437,0.1209250072129471,0.0421748847238484,-0.07875012248909871,0.22870751693429395,0.35067954170021953,0.12197202476592559,0.4610555426415723,0.4811089447747149,0.020053402133142606
PhysionetMI,8,0,right_hand,mid,8,0.07730862539003244,0.09135851331437596,0.5954412756033869,0.7067642381823703,0.15130934314418434,0.06882240972434796,-0.08248693341983639,0.08821502488370843,0.09072710734875288,0.002512082465044446,0.38957488016083497,0.5546368163349193,0.16506193617408438,0.32875463604315475,0.6729395937195551,0.3441849576764004
PhysionetMI,8,0,right_hand,late,8,0.0799101347601968,-0.016666213024146993,0.5621564856542605,0.328880159526461,0.17647202337331144,0.07278529475283188,-0.10368672862047956,0.00940181880582542,-0.013420559966073893,-0.022822378771899313,0.34582269717866226,0.5327503576458055,0.1869276604671432,0.381172586495732,0.31475498396701085,-0.06641760252872114
PhysionetMI,9,0,left_hand,early,8,0.022398005735558876,-0.013752553676590236,0.3671179600504996,0.22562327567751403,-0.09098804604432707,0.04192834829020742,0.1329163943345345,-0.04932706569546486,-0.0008929462064796103,0.04843411948898525,0.4843930039860322,0.3939688353710444,-0.09042416861498781,0.26594071023841775,0.24628847914455712,-0.019652231093860634
PhysionetMI,9,0,left_hand,mid,8,-0.025245334758014607,-0.009845730302694356,0.2931188497762527,0.34940707967073537,-0.14363039980848918,-0.0074119752947999175,0.13621842451368926,0.01978042542680983,-0.009930860293647674,-0.029711285720457503,0.5948022130780172,0.17560162294201243,-0.41920059013600475,0.45993004445015157,0.41668704460927536,-0.043242999840876206
PhysionetMI,9,0,left_hand,late,8,-0.013934558027486185,0.00027156195931544774,0.29175589540420466,0.23401911097831207,-0.09142154798661722,-0.004621848139189309,0.08679969984742791,-0.06370942707176598,-0.0062455196791597195,0.05746390739260626,0.5051358142172903,0.2536103854127632,-0.25152542880452705,0.46131571043690733,0.21497519719523278,-0.24634051324167455
PhysionetMI,9,0,right_hand,early,7,0.056480644920273944,0.02067076172891401,0.6117095689165588,0.46419812730759047,0.3183674021039503,-0.00021372108197423648,-0.3185811231859246,0.13068975585269232,0.004602276362796295,-0.12608747948989601,0.8416908174398887,0.18180422321367024,-0.6598865942262184,0.3779879088942829,0.43024065826397734,0.05225274936969443
PhysionetMI,9,0,right_hand,mid,7,0.04924308715993359,-0.026550832222977442,0.7996234698982134,0.41459912400571935,0.1794866017530252,0.03315883420699433,-0.14632776754603086,-0.04667184868137505,-0.0330327704787222,0.013639078202652852,0.5070275706222124,0.45028435722789284,-0.056743213394319536,0.4468625226768162,0.3267392982893021,-0.1201232243875141
PhysionetMI,9,0,right_hand,late,7,0.053351862868767246,0.006909333731683634,0.7065160178512667,0.26394294915617744,0.21254653437870324,0.03729488909451038,-0.17525164528419285,0.08435023789429137,-0.011336379497854357,-0.09568661739214573,0.6360814954588179,0.6222874911165843,-0.013794004342233546,0.3654514396031574,0.29752215632341295,-0.06792928327974446
PhysionetMI,10,0,left_hand,early,8,-0.03836789925252386,0.02022070225417607,0.47052904092561704,0.26242284074861805,0.1659185124045706,-0.06758135828116708,-0.2334998706857377,-0.019507606276080457,0.028636319211250746,0.04814392548733121,0.48622841288149354,0.7600809600641566,0.27385254718266305,0.4087049319975878,0.3284305843146141,-0.0802743476829737
PhysionetMI,10,0,left_hand,mid,8,0.027587606014241296,0.010678482488041641,0.3888251722204787,0.5233505200991492,-0.16014336152919448,0.03161493837593556,0.19175829990513005,0.058899862139104045,-0.008896944593847728,-0.06779680673295177,0.42336890536478144,0.3515398926033655,-0.07182901276141596,0.46013239416060625,0.49524243215123,0.03511003799062373
PhysionetMI,10,0,left_hand,late,8,0.004063907600875311,-0.014748016808760096,0.33797482361993786,0.37317008844232813,0.04713876456265284,0.00868016535423287,-0.03845859920841997,0.04942988404351359,-0.024952152617752667,-0.07438203666126625,0.08500872139090358,0.46538865768474774,0.38037993629384415,0.23643436465830808,0.4696869590887371,0.233252594430429
PhysionetMI,10,0,right_hand,early,7,0.04083068157411384,0.011397062833767775,0.37078910047847286,0.3435711199564002,0.07891154208411127,0.05145467587828246,-0.027456866205828816,0.029459748532154557,0.007833315485388188,-0.02162643304676637,0.5068325412733109,0.4537726055800479,-0.053059935693263005,0.48640642184467026,0.4031695347846806,-0.08323688705998966
PhysionetMI,10,0,right_hand,mid,7,0.24801546007242206,0.04942610022295396,0.9395010949458614,0.5285644523631482,0.41343987985992,0.19257008143530063,-0.22086979842461935,-0.040651758220430434,0.06008135372102311,0.10073311194145354,0.8343871562088788,0.7960264681967639,-0.038360688012114896,0.46771183443344216,0.5777725421347584,0.11006070770131621
PhysionetMI,10,0,right_hand,late,7,0.011088786196720126,0.006626249084134579,0.2655827563572592,0.2583678711388559,-0.08993602702670553,0.003182573859566347,0.09311860088627187,-0.007029352909477242,0.0007975763619851591,0.007826929271462401,0.22808990524670075,0.23740397916057335,0.009314073913872595,0.2690316770668262,0.191114860115784,-0.07791681695104219
PhysionetMI,11,0,left_hand,early,7,-0.008063321037441075,-0.008764144174256555,0.3199963197696631,0.34103317221501595,0.023874173978754267,-0.0026266619563973504,-0.026500835935151616,0.011992031420338535,-0.017479881857696455,-0.02947191327803499,0.3422723990516807,0.3121025220619803,-0.030169876989700417,0.42811944244608535,0.3041946989609918,-0.12392474348509352
PhysionetMI,11,0,left_hand,mid,8,-0.02588907836964508,0.01697858283330236,0.46932840060672143,0.1967093529039655,-0.06798666532629251,-0.019927182546397953,0.04805948277989455,0.06525117174305588,0.008415885502113694,-0.05683528624094218,0.5770806923793022,0.39674805305327127,-0.18033263932603089,0.2724092248595173,0.2709767752473564,-0.0014324496121608798
PhysionetMI,11,0,left_hand,late,8,-0.07911072195436335,-0.04054090579335158,0.5445254611862668,0.4507725349212512,-0.17139005086659187,-0.05848723173792266,0.1129028191286692,-0.015615402241428575,-0.045171581277046034,-0.02955617903561746,0.46467244697078014,0.39932920424780555,-0.06534324272297459,0.2372516021449035,0.4956329897504595,0.25838138760555596
PhysionetMI,11,0,right_hand,early,7,0.009201173553472625,0.014725267222586174,0.15076672551648895,0.2851033890709928,0.27838662110184653,-0.04287762561074749,-0.321264246712594,-0.01477480361929534,0.015742225031473753,0.030517028650769093,0.9165339128972873,0.29924428615108145,-0.6172896267462058,0.2758021937614783,0.3882524346496293,0.11245024088815098
PhysionetMI,11,0,right_hand,mid,7,-0.05296629011836004,-0.0725983380257931,0.34445317673019826,0.6537413337313286,0.022133174043724845,-0.05421524059126893,-0.07634841463499377,-0.0424415502391868,-0.08000102861101595,-0.03755947837182915,0.2238333496775785,0.34429461538853523,0.12046126571095672,0.5360455408850178,0.6020901366431112,0.0660445957580934
PhysionetMI,11,0,right_hand,late,8,-0.038870006814242256,-0.030547690285399255,0.3634771323550496,0.6143396370374375,0.03966552572960959,-0.0642217238410929,-0.10388724957070249,0.016606121135645028,-0.02878629960951714,-0.04539242074516217,0.29561430340883177,0.5139974579837276,0.21838315457489588,0.14506603452818329,0.6867275008022323,0.5416614662740491
PhysionetMI,12,0,left_hand,early,7,0.00521904531103173,-0.07345606679349388,0.2407341684653868,0.5344909253034034,0.05712337709352081,-0.002251694948626401,-0.05937507204214721,-0.05728486011644761,-0.06937984325283261,-0.012094983136385004,0.17583293354914095,0.29276185190737836,0.1169289183582374,0.3531571738225864,0.4118047879296161,0.05864761410702973
PhysionetMI,12,0,left_hand,mid,7,0.06033398025483942,-0.05747893383575017,0.6159982654364689,0.46039032042689215,0.07043703239209723,0.0834754966298373,0.013038464237740077,-0.009380597519876003,-0.0632852672629772,-0.0539046697431012,0.1783255185382639,0.7002628784546686,0.5219373599164048,0.45039412178240695,0.4657982413811724,0.01540411959876542
PhysionetMI,12,0,left_hand,late,7,-0.004721571144977551,-0.039595920633689684,0.3552180051903056,0.6257276333525614,-0.1525947572129508,0.02062491003960001,0.1732196672525508,-0.09714062155009373,-0.023778785011290205,0.07336183653880353,0.6152286591041436,0.33442662234315085,-0.28080203676099275,0.2767155391432946,0.6433243528634909,0.36660881372019627
PhysionetMI,12,0,right_hand,early,8,-0.02264703806837334,-0.04190589384471212,0.41308757828512543,0.4408119956607928,-0.1423714172474795,0.009011918610849146,0.15138333585832867,0.10066490136392749,-0.058970424494532554,-0.15963532585846005,0.45160457614440336,0.32228822800903273,-0.12931634813537063,0.3924235604766235,0.4841392109207156,0.09171565044409208
PhysionetMI,12,0,right_hand,mid,8,-0.08979914369250495,-0.038470475622224394,0.7465406751872695,0.37561536631947207,-0.31616400466406425,-0.0520071349605536,0.26415686970351065,-0.02284951983757723,-0.04097527700295255,-0.018125757165375324,0.616868902593745,0.6187663655613295,0.001897462967584418,0.4762575145129474,0.3884733822751727,-0.0877841322377747
PhysionetMI,12,0,right_hand,late,8,0.027530881272882397,-0.06826490858169378,0.33099176896544796,0.4324102113577839,0.15462198829725088,0.030619955805598006,-0.12400203249165287,0.060786059752166145,-0.08337458559569502,-0.14416064534786116,0.5215312717890264,0.30516743453737794,-0.21636383725164843,0.2922410675751363,0.47797981244798377,0.18573874487284747
PhysionetMI,13,0,left_hand,early,7,0.06399290815550675,0.02290646233172705,0.46976559761288067,0.4219424555064417,0.08202004321893872,0.055653597827080355,-0.02636644539185836,0.07699391526562915,0.002143725854997127,-0.07485018941063203,0.6816316780471295,0.3804401956523803,-0.30119148239474924,0.39124647855877653,0.27278018599007864,-0.1184662925686979
PhysionetMI,13,0,left_hand,mid,8,0.05378186765616652,-0.02987661631325917,0.5160432696836714,0.5036785219937783,0.194713464247604,0.04664369544849141,-0.1480697687991126,0.07560981128975487,-0.04981662077144435,-0.12542643206119922,0.43859439883634577,0.5448845728854746,0.10629017404912888,0.6011222119557854,0.41990338616563927,-0.18121882579014614
PhysionetMI,13,0,left_hand,late,8,0.009131291088560442,-0.0892449406247539,0.09729439836436839,0.5765743241108904,0.07190591773304039,-0.011689450371777101,-0.08359536810481749,-0.14597697707722837,-0.06896918879863136,0.07700778827859701,0.31007136264694757,0.28215204276291495,-0.027919319884032623,0.34741992391670423,0.43459826181851685,0.08717833790181262
PhysionetMI,13,0,right_hand,early,7,0.08253295494954348,0.014051235942299956,0.8338979659462092,0.5356733329025686,0.09346192881502832,0.08571511499123904,-0.007746813823789278,0.054009013245650356,0.02461279644988187,-0.029396216795768485,0.41258854942023493,0.6542173135558791,0.24162876413564416,0.28617113894511115,0.5831562346569088,0.29698509571179765
PhysionetMI,13,0,right_hand,mid,7,-0.014817528685730299,-0.0705144016876415,0.4352658558013768,0.48763471648508866,-0.0034796808901832316,-0.007639704680112847,-0.004160023789929615,-0.12853962352869266,-0.05316986881170753,0.07536975471698514,0.42693439342882245,0.2588872413552929,-0.16804715207352955,0.45035725923335995,0.5141386629339946,0.06378140370063462
PhysionetMI,13,0,right_hand,late,8,0.05814943568830337,-0.0306418215981007,0.43367727406511586,0.3331579125605712,0.16180261705875282,0.06269894138749536,-0.09910367567125745,0.02204024200916025,-0.036681313876535705,-0.058721555885695956,0.42691564839251395,0.418156517297367,-0.008759131095146921,0.255729797521375,0.3914935675415018,0.1357637700201268
PhysionetMI,14,0,left_hand,early,7,0.05174300928241664,-0.01790986836132441,0.4742553360301045,0.4540503890812358,0.0824541873952792,0.026043437235648045,-0.05641075015963115,0.07185477750255635,-0.03480606764883423,-0.10666084515139058,0.3961542452657115,0.23535248755637667,-0.16080175770933486,0.45425799303541364,0.46098906573542153,0.00673107270000789
PhysionetMI,14,0,left_hand,mid,7,0.055840943209265505,0.02226517550307038,0.5721990525874934,0.28347480055938284,0.35193265599309514,0.023896261721045163,-0.32803639427205,-0.08193746276915419,0.03390128302641064,0.11583874579556483,0.7250061209186469,0.26736901555879183,-0.4576371053598551,0.41327403999749446,0.3597358227738571,-0.053538217223637385
